,country,emission,emission_log
0,AUT,318,5.762051382780177
1,AUS,32,3.4657359027997265
2,BEL,69,4.23410650459726
3,BGR,51,3.9318256327243257
4,BRA,48,3.871201010907891
5,CAN,41,3.713572066704308
6,CHE,128,4.852030263919617
7,CHN,384,5.950642552587727
8,CYP,10,2.302585092994046
9,CZE,147,4.990432586778736
10,DEU,752,6.62273632394984
11,DNK,72,4.276666119016055
12,EST,14,2.6390573296152584
13,ESP,98,4.584967478670572
14,FIN,44,3.784189633918261
15,FRA,156,5.049856007249537
16,GBR,99,4.59511985013459
17,GRC,58,4.060443010546419
18,HRV,20221,9.91447694733573
19,HUN,250,5.521460917862246
20,IDN,26,3.258096538021482
21,IRL,71,4.2626798770413155
22,IND,106,4.663439094112067
23,ITA,881,6.78105762593618
24,JPN,48,3.871201010907891
25,KOR,51,3.9318256327243257
26,LTU,15,2.70805020110221
27,LUX,26,3.258096538021482
28,LVA,10,2.302585092994046
29,MLT,9,2.1972245773362196
30,MEX,21,3.044522437723423
31,NLD,71,4.2626798770413155
32,NOR,59,4.07753744390572
33,POL,158,5.062595033026967
34,PRT,25,3.2188758248682006
35,ROU,57,4.04305126783455
36,RUS,652,6.480044561926653
37,SWE,71,4.2626798770413155
38,SVN,445,6.09807428216624
39,SVK,70,4.248495242049359
40,TUR,86,4.454347296253507
41,TWN,92,4.5217885770490405
42,USA,248,5.5134287461649825
43,AFG,505,6.22455842927536
44,ASM,505,6.22455842927536
45,ATA,505,6.22455842927536
46,ARM,505,6.22455842927536
47,AZE,505,6.22455842927536
48,BGD,505,6.22455842927536
49,BTN,505,6.22455842927536
50,BVT,505,6.22455842927536
51,IOT,505,6.22455842927536
52,BRN,505,6.22455842927536
53,KHM,505,6.22455842927536
54,CXR,505,6.22455842927536
55,CCK,505,6.22455842927536
56,COK,505,6.22455842927536
57,FJI,505,6.22455842927536
58,PYF,505,6.22455842927536
59,GEO,505,6.22455842927536
60,GUM,505,6.22455842927536
61,HMD,505,6.22455842927536
62,HKG,505,6.22455842927536
63,KAZ,505,6.22455842927536
64,KIR,505,6.22455842927536
65,KGZ,505,6.22455842927536
66,LAO,505,6.22455842927536
67,MAC,505,6.22455842927536
68,MYS,505,6.22455842927536
69,MDV,505,6.22455842927536
70,MHL,505,6.22455842927536
71,FSM,505,6.22455842927536
72,MNG,505,6.22455842927536
73,MMR,505,6.22455842927536
74,NRU,505,6.22455842927536
75,NPL,505,6.22455842927536
76,NCL,505,6.22455842927536
77,NZL,505,6.22455842927536
78,NIU,505,6.22455842927536
79,NFK,505,6.22455842927536
80,PRK,505,6.22455842927536
81,MNP,505,6.22455842927536
82,PAK,505,6.22455842927536
83,PLW,505,6.22455842927536
84,PNG,505,6.22455842927536
85,PHL,505,6.22455842927536
86,PCN,505,6.22455842927536
87,WSM,505,6.22455842927536
88,SGP,505,6.22455842927536
89,SLB,505,6.22455842927536
90,SGS,505,6.22455842927536
91,LKA,505,6.22455842927536
92,TJK,505,6.22455842927536
93,THA,505,6.22455842927536
94,TLS,505,6.22455842927536
95,TKL,505,6.22455842927536
96,TON,505,6.22455842927536
97,TKM,505,6.22455842927536
98,TUV,505,6.22455842927536
99,UMI,505,6.22455842927536
100,UZB,505,6.22455842927536
101,VUT,505,6.22455842927536
102,VNM,505,6.22455842927536
103,WLF,505,6.22455842927536
104,ALA,724,6.584791392385716
105,ALB,724,6.584791392385716
106,AND,724,6.584791392385716
107,BLR,724,6.584791392385716
108,BIH,724,6.584791392385716
109,FRO,724,6.584791392385716
110,GIB,724,6.584791392385716
111,GGY,724,6.584791392385716
112,ISL,724,6.584791392385716
113,IMN,724,6.584791392385716
114,JEY,724,6.584791392385716
115,XKX,724,6.584791392385716
116,LIE,724,6.584791392385716
117,MKD,724,6.584791392385716
118,MDA,724,6.584791392385716
119,MCO,724,6.584791392385716
120,MNE,724,6.584791392385716
121,SMR,724,6.584791392385716
122,SRB,724,6.584791392385716
123,SJM,724,6.584791392385716
124,UKR,724,6.584791392385716
125,VAT,724,6.584791392385716
126,DZA,108,4.68213122712422
127,AGO,108,4.68213122712422
128,BEN,108,4.68213122712422
129,BWA,108,4.68213122712422
130,BFA,108,4.68213122712422
131,BDI,108,4.68213122712422
132,CPV,108,4.68213122712422
133,CMR,108,4.68213122712422
134,CAF,108,4.68213122712422
135,TCD,108,4.68213122712422
136,COM,108,4.68213122712422
137,COG,108,4.68213122712422
138,CIV,108,4.68213122712422
139,DJI,108,4.68213122712422
140,COD,108,4.68213122712422
141,GNQ,108,4.68213122712422
142,ERI,108,4.68213122712422
143,SWZ,108,4.68213122712422
144,ETH,108,4.68213122712422
145,ATF,108,4.68213122712422
146,GAB,108,4.68213122712422
147,GMB,108,4.68213122712422
148,GHA,108,4.68213122712422
149,GIN,108,4.68213122712422
150,GNB,108,4.68213122712422
151,KEN,108,4.68213122712422
152,LSO,108,4.68213122712422
153,LBR,108,4.68213122712422
154,LBY,108,4.68213122712422
155,MDG,108,4.68213122712422
156,MWI,108,4.68213122712422
157,MLI,108,4.68213122712422
158,MRT,108,4.68213122712422
159,MUS,108,4.68213122712422
160,MYT,108,4.68213122712422
161,MAR,108,4.68213122712422
162,MOZ,108,4.68213122712422
163,NAM,108,4.68213122712422
164,NER,108,4.68213122712422
165,NGA,108,4.68213122712422
166,REU,108,4.68213122712422
167,RWA,108,4.68213122712422
168,STP,108,4.68213122712422
169,SEN,108,4.68213122712422
170,SYC,108,4.68213122712422
171,SLE,108,4.68213122712422
172,SOM,108,4.68213122712422
173,SSD,108,4.68213122712422
174,SHN,108,4.68213122712422
175,SDN,108,4.68213122712422
176,TZA,108,4.68213122712422
177,TGO,108,4.68213122712422
